NAME,DESCRIPTION,CATEGORY,IMAGE,IS FEATURED,CREATED AT,UPDATED AT,ATTRIBUTES
Ketoconazole IP 2%  Soap,None,HairCare,media/products/medicated/Haircare/Ketoconazole IP 2%  Soap.webp,False,2025-06-19 09:17:18,2025-06-19 09:17:18,
Ketoconazole IP 2% cream,None,HairCare,media/products/medicated/Haircare/Ketoconazole IP 2% cream.webp,False,2025-06-19 09:17:18,2025-06-19 09:17:18,
ketoconazole IP 2% Salicylic Acid IP 2%  Solution,None,HairCare,media/products/medicated/Haircare/ketoconazole IP 2% Salicylic Acid IP 2%  Solution.webp,False,2025-06-19 09:17:18,2025-06-19 09:17:18,
ketoconazole IP 2% ZPTO 1%   Shampoo,None,HairCare,media/products/medicated/Haircare/ketoconazole IP 2% ZPTO 1%   Shampoo.webp,False,2025-06-19 09:17:18,2025-06-19 09:17:18,
Ketoconazole IP 2% ZPTO 1% glycerin 4% soap,None,HairCare,media/products/medicated/Haircare/Ketoconazole IP 2% ZPTO 1% glycerin 4% soap.webp,False,2025-06-19 09:17:18,2025-06-19 09:17:18,
Minoxidil 10% Solution,None,HairCare,media/products/medicated/Haircare/Minoxidil 10% Solution.webp,False,2025-06-19 09:17:18,2025-06-19 09:17:18,
Minoxidil 2% Solution,None,HairCare,media/products/medicated/Haircare/Minoxidil 2% Solution.webp,False,2025-06-19 09:17:18,2025-06-19 09:17:18,
Minoxidil IP 5%  Solution,None,HairCare,media/products/medicated/Haircare/Minoxidil IP 5%  Solution.webp,False,2025-06-19 09:17:18,2025-06-19 09:17:18,
Permethrin 1%  soap,None,HairCare,media/products/medicated/Haircare/Permethrin 1%  soap.webp,False,2025-06-19 09:17:18,2025-06-19 09:17:18,
